Carimbo de data/hora,  Sexo:  ,Idade,Como você conheceu o site? ,Quais ferramentas do site você usou? (pode marcar mais de uma)  ,Você considera que as informações e ferramentas do site foram úteis para você?  , O site é fácil de navegar e entender?  ," Em uma escala de 0 a 10, qual nota você dá para o site como ferramenta de apoio à saúde e bem-estar?  ",Você aprendeu algo novo com o site?  ,Você usaria o site novamente ou recomendaria para outras pessoas?  ,O que você mais gostou no site?  ,O que você acha que poderia ser melhorado?,Você gostaria que o site tivesse outros tipos de conteúdo? Quais?
07/05/2025 20:08:50,Masculino,40,Redes sociais,"Calculadora de IMC, Calculadora de gasto calórico, Contador de água, Ficha de treino, Quiz de emoções",Sim,Sim,10,Sim,Sim,Testando ,Testando,Não
07/05/2025 20:41:16,Masculino,28,Indicação de um aluno ou voluntário do projeto,Calculadora de IMC,Sim,Sim,9,Sim,Sim,interface,treinos,videos
12/05/2025 04:22:13,Feminino,24,Indicação de um aluno ou voluntário do projeto,"Calculadora de IMC, Calculadora de gasto calórico, Contador de água, Quiz de emoções",Sim,Sim,10,Sim,Sim,Tudo calculadora de IMC,Perfil do usuário ,Perfil do usuário 
13/05/2025 11:29:46,Masculino,43,Indicação de um aluno ou voluntário do projeto,Calculadora de IMC,Sim,Sim,10,Sim,Sim,Tudo ,Nada,Ele já tá ótimo 
13/05/2025 11:31:00,Masculino,39,Indicação de um aluno ou voluntário do projeto,"Contador de água, Quiz de emoções",Sim,Sim,10,Sim,Sim,Bem intuitivo!,,
13/05/2025 11:49:34,Masculino,54,Indicação de um aluno ou voluntário do projeto,Ficha de treino,Sim,Sim,8,Sim,Sim,Fácil acesso,Didatica,Sim. Resultado de pesquisas
13/05/2025 23:33:18,Feminino,32,Indicação de um aluno ou voluntário do projeto,"Calculadora de IMC, Calculadora de gasto calórico, Contador de água, Quiz de emoções",Sim,Sim,10,Sim,Sim,"A qualidade elaborada , as informações bem eficiente!",Algumas sugestões de atividades físicas.,"Algumas atividades físicas que possam ajudar,  nos exercícios, ou as formas corretas dos treinos..."
14/05/2025 06:35:08,Masculino,26,Indicação de um aluno ou voluntário do projeto,Ficha de treino,Sim,Sim,10,Sim,Sim,Transparência ,,
14/05/2025 11:10:40,Feminino,25,Indicação de um aluno ou voluntário do projeto,"Calculadora de IMC, Calculadora de gasto calórico, Contador de água, Ficha de treino",Sim,Sim,10,Sim,Sim,Todas as ferramentas e organização. ,"Sinceramente, está maravilhoso.  ","Algum espaço para deixar os registros dos treinos, fotos, vídeos. "
14/05/2025 11:34:43,Feminino,36,Indicação de um aluno ou voluntário do projeto,"Calculadora de IMC, Calculadora de gasto calórico, Contador de água",Sim,Sim,7,Não,Sim,Planilha de treino,Ter mais informações ,Sim. Dicas de treino. 
